screen_id,screen_name,location,city,state,country,seating_capacity,created_by,create_date,modified_by,modified_date
<<<<<<< HEAD
1,Screen 1,CMR Central,Visakhapatnam,Andhra Pradesh,India,300,Admin,2023-02-15,Admin,2023-11-26
2,Screen 2,Mukta A2 Cinemas,Visakhapatnam,Andhra Pradesh,India,250,Admin,2023-02-16,Admin,2023-11-27
3,Screen 3,INOX - Varun Beach,Visakhapatnam,Andhra Pradesh,India,400,Admin,2023-02-17,Admin,2023-11-28
4,Screen 4,PVR - MVP,Visakhapatnam,Andhra Pradesh,India,350,Admin,2023-02-18,Admin,2023-11-29
5,Screen 5,Cinepolis - Jagadamba,Visakhapatnam,Andhra Pradesh,India,450,Admin,2023-02-19,Admin,2023-11-30
6,Screen 6,GVK One Mall,Visakhapatnam,Andhra Pradesh,India,200,Admin,2023-02-20,Admin,2023-12-01
7,Screen 7,Big Cinemas - Simhachalam,Visakhapatnam,Andhra Pradesh,India,250,Admin,2023-02-21,Admin,2023-12-02
8,Screen 8,IMAX - Vizag,Visakhapatnam,Andhra Pradesh,India,500,Admin,2023-02-22,Admin,2023-12-03
9,Screen 9,MMR Cinemas,Visakhapatnam,Andhra Pradesh,India,400,Admin,2023-02-23,Admin,2023-12-04
10,Screen 10,Ambica Cinema,Visakhapatnam,Andhra Pradesh,India,300,Admin,2023-02-24,Admin,2023-12-05
11,Screen 11,Star Cinemas,Visakhapatnam,Andhra Pradesh,India,350,Admin,2023-02-25,Admin,2023-12-06
12,Screen 12,Platinum Cinemas,Visakhapatnam,Andhra Pradesh,India,250,Admin,2023-02-26,Admin,2023-12-07
13,Screen 13,Silver Screen,Visakhapatnam,Andhra Pradesh,India,200,Admin,2023-02-27,Admin,2023-12-08
14,Screen 14,Rama Cinema,Visakhapatnam,Andhra Pradesh,India,150,Admin,2023-02-28,Admin,2023-12-09
15,Screen 15,Sun Cinemas,Visakhapatnam,Andhra Pradesh,India,300,Admin,2023-03-01,Admin,2023-12-10
16,Screen 16,PVR - Forum Mall,Bangalore,Karnataka,India,350,Admin,2023-03-02,Admin,2023-12-11
17,Screen 17,INOX - MG Road,Bangalore,Karnataka,India,400,Admin,2023-03-03,Admin,2023-12-12
18,Screen 18,GVK One Mall,Hyderabad,Telangana,India,250,Admin,2023-03-04,Admin,2023-12-13
19,Screen 19,Cinepolis - Banjara Hills,Hyderabad,Telangana,India,450,Admin,2023-03-05,Admin,2023-12-14
20,Screen 20,INOX - Hitech City,Hyderabad,Telangana,India,400,Admin,2023-03-06,Admin,2023-12-15
21,Screen 21,AMPA Skywalk,Chennai,Tamil Nadu,India,350,Admin,2023-03-07,Admin,2023-12-16
22,Screen 22,Deluxe Theatre,Chennai,Tamil Nadu,India,300,Admin,2023-03-08,Admin,2023-12-17
23,Screen 23,INOX - Phoenix Market City,Chennai,Tamil Nadu,India,500,Admin,2023-03-09,Admin,2023-12-18
24,Screen 24,Sathyam Cinemas,Chennai,Tamil Nadu,India,250,Admin,2023-03-10,Admin,2023-12-19
25,Screen 25,PVR - Lulu Mall,Kochi,Kerala,India,350,Admin,2023-03-11,Admin,2023-12-20
26,Screen 26,Prathibha Cinemas,Trivandrum,Kerala,India,200,Admin,2023-03-12,Admin,2023-12-21
27,Screen 27,Karachi Theatre,Coimbatore,Tamil Nadu,India,250,Admin,2023-03-13,Admin,2023-12-22
28,Screen 28,Paradise Mall,Visakhapatnam,Andhra Pradesh,India,300,Admin,2023-03-14,Admin,2023-12-23
29,Screen 29,Big Cinemas - T Nagar,Chennai,Tamil Nadu,India,400,Admin,2023-03-15,Admin,2023-12-24
30,Screen 30,Cinepolis - Kochi,Kochi,Kerala,India,350,Admin,2023-03-16,Admin,2023-12-25
=======
1,Screen 1,CMR Central,Visakhapatnam,Andhra Pradesh,India,300,Admin,15-02-2023,Admin,26-11-2023
2,Screen 2,Mukta A2 Cinemas,Visakhapatnam,Andhra Pradesh,India,250,Admin,16-02-2023,Admin,27-11-2023
3,Screen 3,INOX - Varun Beach,Visakhapatnam,Andhra Pradesh,India,400,Admin,17-02-2023,Admin,28-11-2023
4,Screen 4,PVR - MVP,Visakhapatnam,Andhra Pradesh,India,350,Admin,18-02-2023,Admin,29-11-2023
5,Screen 5,Cinepolis - Jagadamba,Visakhapatnam,Andhra Pradesh,India,450,Admin,19-02-2023,Admin,30-11-2023
6,Screen 6,GVK One Mall,Visakhapatnam,Andhra Pradesh,India,200,Admin,20-02-2023,Admin,01-12-2023
7,Screen 7,Big Cinemas - Simhachalam,Visakhapatnam,Andhra Pradesh,India,250,Admin,21-02-2023,Admin,02-12-2023
8,Screen 8,IMAX - Vizag,Visakhapatnam,Andhra Pradesh,India,500,Admin,22-02-2023,Admin,03-12-2023
9,Screen 9,MMR Cinemas,Visakhapatnam,Andhra Pradesh,India,400,Admin,23-02-2023,Admin,04-12-2023
10,Screen 10,Ambica Cinema,Visakhapatnam,Andhra Pradesh,India,300,Admin,24-02-2023,Admin,05-12-2023
11,Screen 11,Star Cinemas,Visakhapatnam,Andhra Pradesh,India,350,Admin,25-02-2023,Admin,06-12-2023
12,Screen 12,Platinum Cinemas,Visakhapatnam,Andhra Pradesh,India,250,Admin,26-02-2023,Admin,07-12-2023
13,Screen 13,Silver Screen,Visakhapatnam,Andhra Pradesh,India,200,Admin,27-02-2023,Admin,08-12-2023
14,Screen 14,Rama Cinema,Visakhapatnam,Andhra Pradesh,India,150,Admin,28-02-2023,Admin,09-12-2023
15,Screen 15,Sun Cinemas,Visakhapatnam,Andhra Pradesh,India,300,Admin,01-03-2023,Admin,10-12-2023
16,Screen 16,PVR - Forum Mall,Bangalore,Karnataka,India,350,Admin,02-03-2023,Admin,11-12-2023
17,Screen 17,INOX - MG Road,Bangalore,Karnataka,India,400,Admin,03-03-2023,Admin,12-12-2023
18,Screen 18,GVK One Mall,Hyderabad,Telangana,India,250,Admin,04-03-2023,Admin,13-12-2023
19,Screen 19,Cinepolis - Banjara Hills,Hyderabad,Telangana,India,450,Admin,05-03-2023,Admin,14-12-2023
20,Screen 20,INOX - Hitech City,Hyderabad,Telangana,India,400,Admin,06-03-2023,Admin,15-12-2023
21,Screen 21,AMPA Skywalk,Chennai,Tamil Nadu,India,350,Admin,07-03-2023,Admin,16-12-2023
22,Screen 22,Deluxe Theatre,Chennai,Tamil Nadu,India,300,Admin,08-03-2023,Admin,17-12-2023
23,Screen 23,INOX - Phoenix Market City,Chennai,Tamil Nadu,India,500,Admin,09-03-2023,Admin,18-12-2023
24,Screen 24,Sathyam Cinemas,Chennai,Tamil Nadu,India,250,Admin,10-03-2023,Admin,19-12-2023
25,Screen 25,PVR - Lulu Mall,Kochi,Kerala,India,350,Admin,11-03-2023,Admin,20-12-2023
26,Screen 26,Prathibha Cinemas,Trivandrum,Kerala,India,200,Admin,12-03-2023,Admin,21-12-2023
